Price,Close,High,Low,Open,Volume,MA10,MA50,Return
2015-07-07,370.8133850097656,374.4061715039959,370.2461029317293,372.5152312438747,3497418,374.5877075195313,372.8115026855469,-0.00284764375533475
2015-07-08,362.1150512695313,370.24609419621004,361.0939389366044,370.24609419621004,7024178,373.16572265625007,372.74867919921877,-0.023457442724202693
2015-07-09,354.7403869628906,365.32965224536497,353.24653956541687,362.1150538560424,8587772,371.1821258544922,372.53743225097656,-0.020365528250720355
2015-07-10,354.5513000488281,360.07283639514844,352.7170972230156,358.5600841816068,7411522,368.6198974609375,372.3928143310547,-0.0005330290009586403
2015-07-13,359.3353576660156,361.16956033618766,353.2465166735162,355.87492803806555,6531768,367.1071441650391,372.1544396972656,0.013493273375471126
2015-07-14,367.3150939941406,368.16601699181047,357.5767530208082,361.1695390109697,5367074,366.61171569824216,372.18872619628905,0.02220693332255319
2015-07-15,372.1370239257813,372.87449520560193,366.08601540666285,366.8423914715526,4129566,366.1049407958984,372.4710754394531,0.01312750281837749
2015-07-16,374.0469055175781,374.97347090439473,370.43521407045347,373.5363608568669,3472938,366.1446502685547,372.7098498535156,0.005132199886076716
2015-07-17,378.8876037597656,379.8898111008017,374.06570720273703,374.78427356983025,3447978,366.5814453125,372.9934698486328,0.012941420369430245
2015-07-20,378.6607666015625,382.2724576864275,373.4228715975335,378.717504039403,4377180,367.2602874755859,373.1395550537109,-0.0005986924775372993
2015-07-21,420.7909240722656,434.53804983615163,391.42461408217315,391.42461408217315,38310112,372.25804138183594,374.30166015625,0.11126095224709043
2015-07-22,417.19818115234375,420.5451363587826,407.17619723731883,417.89781985292694,12665660,377.7663543701172,375.3561474609375,-0.008538071318536455
2015-07-23,415.25048828125,422.43606139358496,412.2249838128985,417.5006887633727,7710748,383.81736450195314,376.4532659912109,-0.004668507580052328
2015-07-24,411.3172912597656,418.446126375952,409.61544512863475,414.3239137907487,4480302,389.49396362304685,377.37132080078123,-0.009471866096447346
2015-07-27,402.8837890625,411.4497123328348,401.0495399012213,411.05264253931426,6752244,393.8488067626953,378.00410217285156,-0.0205036412921904
2015-07-28,401.9572448730469,406.9304280173339,398.7048361870579,404.0940170413767,8476602,397.3130218505859,378.50919860839844,-0.0022997802706561377
2015-07-29,410.4853210449219,412.98135295605505,402.77027554780096,406.17396801721895,7071334,401.1478515625,379.0919073486328,0.02121637632024398
2015-07-30,404.6612548828125,412.225016656323,400.1229978187062,412.225016656323,11956598,404.20928649902345,379.5538507080078,-0.014188244654604887
2015-07-31,407.3274841308594,408.953665151985,400.8793589940332,407.89476624264336,7931012,407.0532745361328,380.0765698242187,0.00658879301112969
